message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used,manual_sentiment,manual_topic,manual_bot_response,labeled_at,comment,sentiment_correct,topic_correct,bot_response_correct,overall_correct
1,2024-12-15T09:00:00,müşteri_1,customer,"Merhaba, düğün mekanı arıyorum. Bahçeli bir yer var mı?",Nötr,Düğün Mekanı,Evet,2025-08-11T20:21:33.943185,openai,gpt-4o,Nötr,Düğün Mekanı,Evet,2025-08-11T20:46:13.936247,,True,True,True,True
2,2024-12-15T09:02:00,destek_1,support,Merhaba! Tabii ki. Hangi bölgede düğün mekanı arıyorsunuz?,Nötr,Düğün Mekanı,Evet,2025-08-11T20:22:02.554046,openai,gpt-4o,Nötr,Düğün Mekanı,Evet,2025-08-11T20:46:33.508123,,True,True,True,True
3,2024-12-15T09:05:00,müşteri_1,customer,İstanbul Avrupa yakasında olsun. Fiyatları nasıl?,Nötr,Fiyat Sorgusu,Evet,2025-08-11T20:22:32.675837,openai,gpt-4o,Nötr,Fiyat Sorgusu,Evet,2025-08-11T20:46:48.833514,,True,True,True,True
4,2024-12-15T09:07:00,destek_1,support,Avrupa yakasında birçok güzel mekanımız var. Kişi başı 150-300 TL arası değişiyor. Kaç kişilik düşünüyorsunuz?,Pozitif,Düğün Mekanı,Hayır,2025-08-11T20:23:00.989310,openai,gpt-4o,Pozitif,Düğün Mekanı,Hayır,2025-08-11T20:48:11.569523,,True,True,True,True
5,2024-12-15T09:10:00,müşteri_1,customer,"200 kişilik düşünüyoruz. Çok güzel, teşekkür ederim!",Pozitif,Genel Bilgi,Evet,2025-08-11T20:23:31.595385,openai,gpt-4o,Pozitif,Genel Bilgi,Evet,2025-08-11T20:48:25.131544,,True,True,True,True
6,2024-12-15T09:30:00,müşteri_2,customer,Gelinlik modelleri görebilir miyim? Prenses model arıyorum.,Nötr,Gelinlik,Evet,2025-08-11T20:24:00.614417,openai,gpt-4o,Nötr,Gelinlik,Evet,2025-08-11T20:48:35.633120,,True,True,True,True
7,2024-12-15T09:32:00,destek_2,support,Tabii ki! Prenses model gelinliklerimiz çok güzel. Mağazamıza gelip deneyebilirsiniz.,Pozitif,Gelinlik,Evet,2025-08-11T20:24:28.845228,openai,gpt-4o,Pozitif,Gelinlik,Evet,2025-08-11T20:48:45.097137,,True,True,True,True
8,2024-12-15T09:35:00,müşteri_2,customer,Fiyatları ne kadar? Bütçem sınırlı.,Nötr,Fiyat Sorgusu,Evet,2025-08-11T20:24:56.742617,openai,gpt-4o,Nötr,Fiyat Sorgusu,Evet,2025-08-11T20:48:50.997878,,True,True,True,True
9,2024-12-15T09:37:00,destek_2,support,Prenses modeller 2000-8000 TL arası. Bütçenize uygun seçenekler bulabiliriz.,Nötr,Genel Bilgi,Evet,2025-08-11T20:25:25.016346,openai,gpt-4o,Nötr,Genel Bilgi,Evet,2025-08-11T20:48:58.922811,,True,True,True,True
10,2024-12-15T10:00:00,müşteri_3,customer,Düğün fotoğrafçısı arıyorum. Paketleriniz neler?,Nötr,Fotoğrafçı,Evet,2025-08-11T20:25:54.264568,openai,gpt-4o,Nötr,Fotoğrafçı,Evet,2025-08-11T20:49:12.995850,,True,True,True,True
11,2024-12-15T10:02:00,destek_1,support,"Fotoğraf paketlerimiz: Temel (1500 TL), Standart (2500 TL), Premium (4000 TL). Hangi paketi tercih edersiniz?",Nötr,Fotoğrafçı,Evet,2025-08-11T20:26:23.373984,openai,gpt-4o,Nötr,Fotoğrafçı,Evet,2025-08-11T20:49:20.314897,,True,True,True,True
12,2024-12-15T10:05:00,müşteri_3,customer,Premium pakette neler var?,Nötr,Genel Bilgi,Evet,2025-08-11T20:26:52.593997,openai,gpt-4o,Nötr,Genel Bilgi,Evet,2025-08-11T20:49:28.359044,,True,True,True,True
13,2024-12-15T10:07:00,destek_1,support,"Premium pakette: 8 saat çekim, 2 fotoğrafçı, 500+ fotoğraf, albüm, video klip dahil.",Nötr,Fotoğrafçı,Hayır,2025-08-11T20:27:21.847281,openai,gpt-4o,Nötr,Fotoğrafçı,Hayır,2025-08-11T20:49:49.193772,,True,True,True,True
14,2024-12-15T10:10:00,müşteri_3,customer,Harika! Rezervasyon nasıl yapabilirim?,Pozitif,Rezervasyon,Evet,2025-08-11T20:27:50.112859,openai,gpt-4o,Pozitif,Rezervasyon,Evet,2025-08-11T20:49:52.076597,,True,True,True,True
15,2024-12-15T10:30:00,müşteri_4,customer,Çiçek dekorasyonu için randevu almak istiyorum.,Nötr,Rezervasyon,Evet,2025-08-11T20:28:18.190286,openai,gpt-4o,Nötr,Rezervasyon,Evet,2025-08-11T20:49:55.327002,,True,True,True,True
45,2024-12-15T14:05:00,müşteri_11,customer,Kesinlikle tavsiye edeceğim arkadaşlarıma!,Nötr,Genel Bilgi,Hayır,2025-08-11T20:42:35.257375,openai,gpt-4o,Nötr,Genel Bilgi,Hayır,2025-08-11T20:50:23.277162,,True,True,True,True
